decade,date,year,city,index_hwmid,index_tn10p,index_tn90p,index_tx10p,index_tx90p,tmstmp
2071-2080,2071-01-01,2071,Lisbon,4.97280055880547,0.410958904027939,39.3424657821655,1.49315068125725,34.5616439819336,3187296e6
2071-2080,2071-01-01,2071,London,8.54466304779053,1.06849315166473,33.3972602844238,1.58904108405113,30.6849312782288,3187296e6
2071-2080,2071-01-01,2071,Madrid,13.9793458402157,0.767123290896416,43.1780818939209,1.58904111087322,37.6712331771851,3187296e6
2071-2080,2071-01-01,2071,Paris,7.84821390211582,1.36986300945282,34.6575344085693,1.89041094183922,27.7123286247253,3187296e6
2071-2080,2071-01-01,2071,Roma,11.6380038261414,0.794520556926727,39.2054794311523,2.0136986553669,35.3424656867981,3187296e6
2071-2080,2071-01-01,2071,Warsaw,8.54466304779053,1.06849315166473,33.3972602844238,1.58904108405113,30.6849312782288,3187296e6
2081-2080,2081-01-01,2081,Athens,7.39843229055405,0.684931510686874,66.6027397155762,1.19178080260754,46.8630135536194,35029152e5
2081-2080,2081-01-01,2081,Berlin,9.90553712844849,0.68493150472641,41.479451751709,1.64383559823036,31.4246580123901,35029152e5
2081-2080,2081-01-01,2081,Brussels,18.7830475181341,0.904109579324722,39.3972606658936,1.31506849527359,31.7808223724365,35029152e5
2081-2080,2081-01-01,2081,Budapest,11.6326931715012,0.561643843352795,46.7123287200928,1.64383559823036,34.9589038848877,35029152e5
2081-2080,2081-01-01,2081,Lisbon,13.8095285892487,0.19178082048893,47.3013700485229,0.76712328493595106,40.2054798126221,35029152e5
2081-2080,2081-01-01,2081,London,16.5196362257004,0.383561646938324,39.3424655914307,0.602739730477333,37.7808218002319,35029152e5
2081-2080,2081-01-01,2081,Madrid,41.7619559288025,0.465753430128098,52.5753419876099,0.95890411734581,46.2739723205566,35029152e5
2081-2080,2081-01-01,2081,Paris,20.6177178621292,0.794520539045334,39.9589042663574,1.19178082495928,33.1780820846558,35029152e5
2081-2080,2081-01-01,2081,Roma,23.2245203971863,0.465753424167633,45.6027400970459,1.24657535851002,43.9726027488708,35029152e5
2081-2080,2081-01-01,2081,Warsaw,16.5196362257004,0.383561646938324,39.3424655914307,0.602739730477333,37.7808218002319,35029152e5
2091-2100,2091-01-01,2091,Athens,15.5991577386856,0.178082194924355,75.972603225708,0.30136986374855,52.3424652099609,3818448e6
2091-2100,2091-01-01,2091,Berlin,8.16235775053501,0.328767123818398,45.4520545959473,1.1232876598835,33.8630136489868,3818448e6
2091-2100,2091-01-01,2091,Brussels,20.0285950422287,0.493150690197945,42.8219177246094,0.904109588265419,32.0547946929932,3818448e6
2091-2100,2091-01-01,2091,Budapest,16.7485940337181,0.671232888102531,53.1506847381592,1.19178082346916,40.7260272979736,3818448e6
2091-2100,2091-01-01,2091,Lisbon,27.4571874141693,0.082191780209541307,55.6027395248413,0.287671233713627,46.9999998092651,3818448e6
2091-2100,2091-01-01,2091,London,15.5463669061661,0.273972600698471,43.8493152618408,0.547945213317871,39.2054798126221,3818448e6
2091-2100,2091-01-01,2091,Madrid,46.3210137367249,0.356164383888245,57.6712333679199,0.767123299837112,51.6301370620728,3818448e6
2091-2100,2091-01-01,2091,Paris,23.5964768409729,0.410958901047707,44.8082187652588,0.698630140721798,34.4109592437744,3818448e6
2091-2100,2091-01-01,2091,Roma,32.6842194080353,0.246575343608856,53.8767126083374,0.89041097164154,50.0000003814697,3818448e6
2091-2100,2091-01-01,2091,Warsaw,15.5463669061661,0.273972600698471,43.8493152618408,0.547945213317871,39.2054798126221,3818448e6
